capture_id,season,site,roll,capture,capture_date_local,capture_time_local,zooniverse_url_0,zooniverse_url_1,zooniverse_url_2,subject_id,question__species,question__count_max,question__count_median,question__count_min,question__standing,question__resting,question__moving,question__eating,question__interacting,question__young_present,question__horns_visible,p_users_identified_this_species,pielous_evenness_index
APN_S1#K024#1#112,APN_S1,K024,1,112,2017-07-21,8:09:32,https://panoptes-uploads.zooniverse.org/production/subject_location/0fca6-0643f-08a2e-057c2-02fa5.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/08bdb-0d2be-0eb5f-145ca-0311e.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/04293-12467-038b4-04b17-0cfa8.jpeg,17368344,impala,3,3,1,0.81,0,0.25,0.94,0.5,0,0,0.8,0.48
APN_S1#JJP#2#196,APN_S1,JJP,2,196,2017-07-21,9:03:10,https://panoptes-uploads.zooniverse.org/production/subject_location/13c34-0e8c1-0dc73-06774-08285.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/087dc-17ba7-168fa-097f2-146ad.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0d0fd-06a1a-0cfa8-15eee-12f8d.jpeg,17081288,hyenaspotted,3,3,3,0.78,0,0.11,0.67,0.33,0.39,0.06,0.9,0.36
APN_S1#DW#1#210,APN_S1,DW,1,210,2017-07-21,18:09:16,https://panoptes-uploads.zooniverse.org/production/subject_location/067c9-0da67-1640f-0d642-0c740.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/08b07-12a2d-183ec-10b9d-093b7.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0a9ab-057ce-08df3-16735-0fc35.jpeg,17711850,zebraburchells,2,2,2,0.08,0.92,0.08,0.92,0,0,0.92,0.72,0.66
APN_S1#U43b#1#59,APN_S1,U43b,1,59,2017-07-21,22:33:39,https://panoptes-uploads.zooniverse.org/production/subject_location/06009-0b7f9-091a6-089ce-13552.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/146ad-0a9c0-0544f-06f8c-08b07.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0f388-12f95-17320-15dd4-105f4.jpeg,17148506,zebraburchells,2,2,1,0.08,0.92,0.77,0,0,0.31,1,0.72,0.6
APN_S1#U63c#1#33,APN_S1,U63c,1,33,2017-07-21,5:15:30,https://panoptes-uploads.zooniverse.org/production/subject_location/0c62b-0a98b-0ff35-18497-02de0.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0b381-11d29-0832d-07c76-0ec1b.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/02d1b-09b53-057ce-11e1c-17416.jpeg,17778470,hare,1,1,1,0.62,0,0.44,0,0,0,0,0.8,0.51
APN_S1#U64c#2#206,APN_S1,U64c,2,206,2017-07-21,6:57:31,https://panoptes-uploads.zooniverse.org/production/subject_location/07229-0c62b-12538-16764-04e59.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/08db3-093b7-0efee-03486-02c37.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/17dc8-12b40-0d0fd-05208-0446c.jpeg,17883870,duiker,1,1,1,0.19,0,0.81,0,0,0,0,0.84,0.49
APN_S1#K053#1#9,APN_S1,K053,1,9,2017-07-21,7:28:59,https://panoptes-uploads.zooniverse.org/production/subject_location/04e5c-0e3aa-09add-12ced-04e5c.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/09f3a-157fb-09293-1181a-130db.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/097d8-1103c-0577b-0d3a4-1103c.jpeg,17533275,impala,1,1,1,0.09,0,1,0,0,0,0,1,0
APN_S1#K024#2#127,APN_S1,K024,2,127,2017-07-21,5:30:24,https://panoptes-uploads.zooniverse.org/production/subject_location/091a6-0f98c-15ef4-13552-1172c.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0e7e5-0ac2e-07218-10c3d-1744c.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0bd1e-0b995-0aa7a-0bd6b-0e8e6.jpeg,17509843,elephant,1,1,1,0.11,0,0.94,0,0,0.06,0,0.9,0.36
APN_S1#KUMH#2#265,APN_S1,KUMH,2,265,2017-07-22,11:34:27,https://panoptes-uploads.zooniverse.org/production/subject_location/0b7f9-0b5f1-16a2a-11abf-13c34.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0eb5f-097f2-06f8c-0ec1b-065aa.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/05607-0cfa8-108b6-0a7b4-0f7ea.jpeg,17137184,kudu,1,1,1,0,0,1,0,0,0,NA,0.74,0.6
APN_S1#JJ1#2#22,APN_S1,JJ1,2,22,2017-07-22,4:25:29,https://panoptes-uploads.zooniverse.org/production/subject_location/12658-12ced-04e59-0c740-10ef3.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0e581-0279e-042c2-0337c-02cd3.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/04e32-065a2-0eccd-06aae-048a8.jpeg,17622324,giraffe,4,4,3,0.95,0,0.15,0.2,0.1,0.9,NA,1,0
